name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Brandon Hester,3,0,0,185.42,92.99,182.88,Unknown,3.53,53.0,0.4,68.0,4.0,80.0,0.0,0.0,44.0
SangWon Kim,10,6,1,175.26,65.77,175.26,Orthodox,3.18,57.0,3.73,58.0,0.69,25.0,72.0,0.0,32.0
Kyle Bochniak,8,5,0,170.18,65.77,177.8,Orthodox,2.63,31.0,5.11,58.0,1.14,15.0,62.0,0.0,38.0
Danny Silva,8,1,0,180.34,65.77,177.8,Switch,13.6,64.0,13.13,59.0,2.0,66.0,100.0,0.0,28.0
AJ Cunningham,10,3,0,177.8,65.77,180.34,Orthodox,7.58,24.0,11.32,54.0,0.0,0.0,0.0,0.0,31.0
Gan McGee,13,5,0,208.28,120.2,182.88,Orthodox,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0,49.0
Roy Boughton,14,8,0,182.88,92.99,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Tommy Petersen,2,3,0,177.8,70.31,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Eduardo Neves,7,2,0,187.96,119.29,198.12,Orthodox,7.69,65.0,6.15,55.0,5.77,66.0,0.0,0.0,25.0
Pat Curran,22,7,0,175.26,65.77,182.88,Unknown,4.7,58.0,4.4,63.0,2.5,62.0,66.0,0.0,36.0
Braxton Smith,5,2,0,180.34,116.57,182.88,Orthodox,6.46,48.0,11.54,32.0,0.0,0.0,100.0,0.0,35.0
Kevin Gray,9,4,0,162.56,56.7,170.18,Orthodox,3.45,62.0,4.48,66.0,0.0,0.0,0.0,0.0,40.0
Gustavo Gabriel,13,1,0,167.64,56.7,182.88,Orthodox,4.06,65.0,4.26,46.0,0.0,0.0,50.0,0.0,31.0
Craig Jones,0,0,0,177.8,92.99,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Brian Sleeman,9,9,1,172.72,83.91,182.88,Unknown,4.0,48.0,1.85,70.0,9.23,100.0,100.0,0.0,42.0
Isaac Dulgarian,6,0,0,170.18,65.77,180.34,Orthodox,7.29,66.0,0.42,71.0,3.13,100.0,0.0,0.0,29.0
Ralph Dillon,0,2,1,187.96,92.99,182.88,Orthodox,0.34,14.0,0.69,60.0,0.0,0.0,0.0,0.0,44.0
Jorge Lopez,11,5,0,177.8,77.11,182.88,Orthodox,2.47,59.0,2.57,50.0,3.5,41.0,81.0,0.0,37.0
Cal Worsham,13,10,0,180.34,104.33,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Nikolas Motta,13,5,0,175.26,70.31,177.8,Orthodox,2.65,30.0,4.61,52.0,0.0,0.0,82.0,0.0,32.0
Windri Patilima,8,1,0,167.64,70.31,180.34,Southpaw,0.31,50.0,7.64,31.0,0.0,0.0,0.0,0.0,32.0
Mike Rodriguez,11,7,0,193.04,92.99,208.28,Southpaw,4.35,53.0,4.24,41.0,0.0,0.0,37.0,0.0,37.0
Canaan Kawaihae,6,2,0,182.88,65.77,180.34,Southpaw,2.83,51.0,4.59,36.0,0.0,0.0,100.0,0.0,28.0
Troy Mandaloniz,3,2,0,175.26,77.11,182.88,Orthodox,3.52,56.0,4.71,63.0,3.1,66.0,57.0,0.0,45.0
